Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
51,2.0,0.0,0.0,858.0,11.0,230.0,2982.0,0.1,118.16541646335642,0.0,0.0,643.4640507698059,,,,,,,,,,,,,,,,,,,,,44.84991895459205,30.35828292000224,108.06595895575285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1098.0,12.0,240.0,3222.0,0.1,143.3926051107313,0.0,0.0,666.5839524269104,,,,,,,,,,,,,,,,,,,,,55.009196194663296,40.439308267728315,130.45116991266767,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1282.0,13.0,184.0,3406.0,0.1,95.62688706546915,0.0,0.0,684.3501636981964,,,,,,,,,,,,,,,,,,,,,36.653921058521725,28.05623256376654,89.06059772555457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1414.0,14.0,132.0,3538.0,0.1,74.14023764576285,0.0,0.0,697.5055456161499,,,,,,,,,,,,,,,,,,,,,26.17214723022547,21.292159252229588,70.82709757943434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1461.0,15.0,47.0,3585.0,0.1,19.731160943852338,0.0,0.0,702.3405020236969,,,,,,,,,,,,,,,,,,,,,5.697510339349351,6.291270784734764,19.502363181903533,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1496.0,16.0,35.0,3620.0,0.1,19.552513928807613,0.0,0.0,706.0636925697327,,,,,,,,,,,,,,,,,,,,,6.178940010154974,6.5986257889255455,19.37498161670397,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1620.0,17.0,124.0,3744.0,0.1,57.86245553547126,0.0,0.0,718.2245008945465,,,,,,,,,,,,,,,,,,,,,20.66560989900383,15.808411895931117,55.41068586904703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1675.0,18.0,55.0,3799.0,0.1,28.844533136242468,0.0,0.0,723.8382086753845,,,,,,,,,,,,,,,,,,,,,8.28336888996589,9.562430423872149,28.445811023530364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1746.0,19.0,71.0,3870.0,0.1,26.505284186975427,0.0,0.0,731.028538942337,,,,,,,,,,,,,,,,,,,,,9.920256404146029,7.615891452456037,25.85262538041651,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1781.0,20.0,35.0,3905.0,0.1,7.700417790686263,0.0,0.0,734.7509224414825,,,,,,,,,,,,,,,,,,,,,2.144570489116341,2.397631580362513,7.640631445827397,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,168.0,1.0,168.0,4073.0,0.1,112.49760497849468,0.0,0.0,1028.645087480545,,,,,,,,,,,,,,,,,,,,,41.38716551872968,33.22899865110785,105.75596735008085,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,272.0,2.0,104.0,4177.0,0.1,51.63098039410336,0.0,0.0,1038.970407962799,,,,,,,,,,,,,,,,,,,,,19.516001481845063,15.596571943056615,49.70066787507375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,308.0,3.0,36.0,4213.0,0.1,19.02083135407094,0.0,0.0,1042.6760113239288,,,,,,,,,,,,,,,,,,,,,5.775896588591833,6.475689179288893,18.850581389078386,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,385.0,4.0,77.0,4290.0,0.1,27.937544158318953,0.0,0.0,1050.441589832306,,,,,,,,,,,,,,,,,,,,,8.788004900574519,7.482254008895672,27.315471408319944,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,427.0,5.0,42.0,4332.0,0.1,10.16309439325024,0.0,0.0,1054.7669360637665,,,,,,,,,,,,,,,,,,,,,3.0266376508563404,3.062863720231266,10.056077711259091,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,452.0,6.0,25.0,4357.0,0.1,6.9942592143720725,0.0,0.0,1057.7352828979492,,,,,,,,,,,,,,,,,,,,,1.8270600921303384,2.2663399373837825,6.962500751070201,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,560.0,7.0,108.0,4465.0,0.1,58.60315846347402,0.0,0.0,1068.570663690567,,,,,,,,,,,,,,,,,,,,,23.92213179387168,16.35535973646647,56.13177564925876,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,592.0,8.0,32.0,4497.0,0.1,9.5962800142671,0.0,0.0,1071.9260506629944,,,,,,,,,,,,,,,,,,,,,2.5224187201598016,2.9730691819452693,9.534622325250163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,619.0,9.0,27.0,4524.0,0.1,8.66535163442842,0.0,0.0,1074.8348078727722,,,,,,,,,,,,,,,,,,,,,2.1631459235299384,2.7874196253396635,8.62418644319306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,686.0,10.0,67.0,4591.0,0.1,35.01313707702681,0.0,0.0,1081.629647731781,,,,,,,,,,,,,,,,,,,,,11.490010169008396,10.575485486597614,34.3118958755585,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,785.0,11.0,99.0,4690.0,0.1,54.6738583843039,0.0,0.0,1091.5549080371857,,,,,,,,,,,,,,,,,,,,,23.907750058014077,15.38074093881374,52.41176224128087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,890.0,12.0,105.0,4795.0,0.1,43.89753999338647,0.0,0.0,1102.0216550827026,,,,,,,,,,,,,,,,,,,,,12.102038522465138,12.3634641593422,42.712207651623245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1035.0,13.0,145.0,4940.0,0.1,60.7260968964626,0.0,0.0,1116.8426246643066,,,,,,,,,,,,,,,,,,,,,23.003394322711184,16.194346920220596,57.50555833077273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1140.0,14.0,105.0,5045.0,0.1,52.841443564397984,0.0,0.0,1127.2371854782104,,,,,,,,,,,,,,,,,,,,,15.330746532528872,15.561508025094815,51.334332509168334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1226.0,15.0,86.0,5131.0,0.1,36.0908845140399,0.0,0.0,1135.9586343765259,,,,,,,,,,,,,,,,,,,,,14.807640393143126,10.669880034117469,34.88716688683637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
